study,source,Inst,dbase,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_requested,hcp_variable_upload,specialty_code,requested_python
,REDCap,,hcpa,cb1_9a_other,,,,facename01,cb1_9a_other,,,,,,,,cb1_9a_other,,
,REDCap,,hcpa,cb1_10a,,,,facename01,cb1_10a,,,,,,,,cb1_10a,,
,REDCap,,hcpa,cb1_10a_other,,,,facename01,cb1_10a_other,,,,,,,,cb1_10a_other,,
,REDCap,,hcpa,cb2_1a,,,,facename01,cb2_1a,,,,,,,,cb2_1a,,
,REDCap,,hcpa,cb2_1a_other,,,,facename01,cb2_1a_other,,,,,,,,cb2_1a_other,,
,REDCap,,hcpa,cb2_2a,,,,facename01,cb2_2a,,,,,,,,cb2_2a,,
,REDCap,,hcpa,cb2_2a_other,,,,facename01,cb2_2a_other,,,,,,,,cb2_2a_other,,
,REDCap,,hcpa,cb2_3a,,,,facename01,cb2_3a,,,,,,,,cb2_3a,,
,REDCap,,hcpa,cb2_3a_other,,,,facename01,cb2_3a_other,,,,,,,,cb2_3a_other,,
,REDCap,,hcpa,cb2_4a,,,,facename01,cb2_4a,,,,,,,,cb2_4a,,
,REDCap,,hcpa,cb2_4a_other,,,,facename01,cb2_4a_other,,,,,,,,cb2_4a_other,,
,REDCap,,hcpa,cb2_5a,,,,facename01,cb2_5a,,,,,,,,cb2_5a,,
,REDCap,,hcpa,cb2_5a_other,,,,facename01,cb2_5a_other,,,,,,,,cb2_5a_other,,
,REDCap,,hcpa,cb2_6a,,,,facename01,cb2_6a,,,,,,,,cb2_6a,,
,REDCap,,hcpa,cb2_6a_other,,,,facename01,cb2_6a_other,,,,,,,,cb2_6a_other,,
,REDCap,,hcpa,cb2_7a,,,,facename01,cb2_7a,,,,,,,,cb2_7a,,
,REDCap,,hcpa,cb2_7a_other,,,,facename01,cb2_7a_other,,,,,,,,cb2_7a_other,,
,REDCap,,hcpa,cb2_8a,,,,facename01,cb2_8a,,,,,,,,cb2_8a,,
,REDCap,,hcpa,cb2_8a_other,,,,facename01,cb2_8a_other,,,,,,,,cb2_8a_other,,
,REDCap,,hcpa,cb2_9a,,,,facename01,cb2_9a,,,,,,,,cb2_9a,,
,REDCap,,hcpa,cb2_9a_other,,,,facename01,cb2_9a_other,,,,,,,,cb2_9a_other,,
,REDCap,,hcpa,cb2_10a,,,,facename01,cb2_10a,,,,,,,,cb2_10a,,
,REDCap,,hcpa,cb2_10a_other,,,,facename01,cb2_10a_other,,,,,,,,cb2_10a_other,,
,REDCap,,hcpa,batlq1,,,,batbil01,batlq1,,,,,,,,batlq1,,
,REDCap,,hcpa,batlq1_lc,,,,batbil01,batlq1_lc,,,,,,,,batlq1_lc,,
,REDCap,,hcpa,batlq1_lct,,,,batbil01,batlq1_lct,,,,,,,,batlq1_lct,,
,REDCap,,hcpa,batlq1_dz,,,,batbil01,batlq1_dz,,,,,,,,batlq1_dz,,
,REDCap,,hcpa,batlq1_dzt,,,,batbil01,batlq1_dzt,,,,,,,,batlq1_dzt,,
,REDCap,,hcpa,batlq1_age,,,,batbil01,batlq1_age,,,,,,,,batlq1_age,,
,REDCap,,hcpa,batlq2,,,,batbil01,batlq2,,,,,,,,batlq2,,
,REDCap,,hcpa,batlq2_lc,,,,batbil01,batlq2_lc,,,,,,,,batlq2_lc,,
,REDCap,,hcpa,batlq2_lct,,,,batbil01,batlq2_lct,,,,,,,,batlq2_lct,,
,REDCap,,hcpa,batlq2_dz,,,,batbil01,batlq2_dz,,,,,,,,batlq2_dz,,
,REDCap,,hcpa,batlq2_dzt,,,,batbil01,batlq2_dzt,,,,,,,,batlq2_dzt,,
,REDCap,,hcpa,batlq2_age,,,,batbil01,batlq2_age,,,,,,,,batlq2_age,,
,REDCap,,hcpa,batlq3,,,,batbil01,batlq3,,,,,,,,batlq3,,
,REDCap,,hcpa,batlq3_lc,,,,batbil01,batlq3_lc,,,,,,,,batlq3_lc,,
,REDCap,,hcpa,batlq3_lct,,,,batbil01,batlq3_lct,,,,,,,,batlq3_lct,,
,REDCap,,hcpa,batlq3_dz,,,,batbil01,batlq3_dz,,,,,,,,batlq3_dz,,
,REDCap,,hcpa,batlq3_dzt,,,,batbil01,batlq3_dzt,,,,,,,,batlq3_dzt,,
,REDCap,,hcpa,batlq3_age,,,,batbil01,batlq3_age,,,,,,,,batlq3_age,,
,REDCap,,hcpa,batlq4,,,,batbil01,batlq4,,,,,,,,batlq4,,
,REDCap,,hcpa,batlq4_lc,,,,batbil01,batlq4_lc,,,,,,,,batlq4_lc,,
,REDCap,,hcpa,batlq4_lct,,,,batbil01,batlq4_lct,,,,,,,,batlq4_lct,,
,REDCap,,hcpa,batlq4_dz,,,,batbil01,batlq4_dz,,,,,,,,batlq4_dz,,
,REDCap,,hcpa,batlq4_dzt,,,,batbil01,batlq4_dzt,,,,,,,,batlq4_dzt,,
,REDCap,,hcpa,batlq4_age,,,,batbil01,batlq4_age,,,,,,,,batlq4_age,,
,REDCap,,hcpa,batlq5,,,,batbil01,batlq5,,,,,,,,batlq5,,
,REDCap,,hcpa,batlq5_lc,,,,batbil01,batlq5_lc,,,,,,,,batlq5_lc,,
,REDCap,,hcpa,batlq5_lct,,,,batbil01,batlq5_lct,,,,,,,,batlq5_lct,,
,REDCap,,hcpa,batlq5_dz,,,,batbil01,batlq5_dz,,,,,,,,batlq5_dz,,
,REDCap,,hcpa,batlq5_dzt,,,,batbil01,batlq5_dzt,,,,,,,,batlq5_dzt,,
,REDCap,,hcpa,batlq5_age,,,,batbil01,batlq5_age,,,,,,,,batlq5_age,,
,REDCap,,hcpa,batlq6,,,,batbil01,batlq6,,,,,,,,batlq6,,
,REDCap,,hcpa,batlq6_lc,,,,batbil01,batlq6_lc,,,,,,,,batlq6_lc,,
,REDCap,,hcpa,batlq6_lct,,,,batbil01,batlq6_lct,,,,,,,,batlq6_lct,,
,REDCap,,hcpa,batlq6_dz,,,,batbil01,batlq6_dz,,,,,,,,batlq6_dz,,
,REDCap,,hcpa,batlq6_dzt,,,,batbil01,batlq6_dzt,,,,,,,,batlq6_dzt,,
,REDCap,,hcpa,batlq6_age,,,,batbil01,batlq6_age,,,,,,,,batlq6_age,,
,REDCap,,hcpa,batlq7,,,,batbil01,batlq7,,,,,,,,batlq7,,
,REDCap,,hcpa,batlq7_lc,,,,batbil01,batlq7_lc,,,,,,,,batlq7_lc,,
,REDCap,,hcpa,batlq7_lct,,,,batbil01,batlq7_lct,,,,,,,,batlq7_lct,,
,REDCap,,hcpa,batlq7_dz,,,,batbil01,batlq7_dz,,,,,,,,batlq7_dz,,
,REDCap,,hcpa,batlq7_dzt,,,,batbil01,batlq7_dzt,,,,,,,,batlq7_dzt,,
,REDCap,,hcpa,batlq7_age,,,,batbil01,batlq7_age,,,,,,,,batlq7_age,,
,REDCap,,hcpa,batlq8,,,,batbil01,batlq8,,,,,,,,batlq8,,
,REDCap,,hcpa,batlq8_lc,,,,batbil01,batlq8_lc,,,,,,,,batlq8_lc,,
,REDCap,,hcpa,batlq8_lct,,,,batbil01,batlq8_lct,,,,,,,,batlq8_lct,,
,REDCap,,hcpa,batlq8_dz,,,,batbil01,batlq8_dz,,,,,,,,batlq8_dz,,
,REDCap,,hcpa,batlq8_dzt,,,,batbil01,batlq8_dzt,,,,,,,,batlq8_dzt,,
,REDCap,,hcpa,batlq8_age,,,,batbil01,batlq8_age,,,,,,,,batlq8_age,,
,REDCap,,hcpa,batlq9,,,,batbil01,batlq9,,,,,,,,batlq9,,
,REDCap,,hcpa,batlq9_lc,,,,batbil01,batlq9_lc,,,,,,,,batlq9_lc,,
,REDCap,,hcpa,batlq9_lct,,,,batbil01,batlq9_lct,,,,,,,,batlq9_lct,,
,REDCap,,hcpa,batlq9_dz,,,,batbil01,batlq9_dz,,,,,,,,batlq9_dz,,
,REDCap,,hcpa,batlq9_dzt,,,,batbil01,batlq9_dzt,,,,,,,,batlq9_dzt,,
,REDCap,,hcpa,batlq9_age,,,,batbil01,batlq9_age,,,,,,,,batlq9_age,,
,REDCap,,hcpa,batlq10,,,,batbil01,batlq10,,,,,,,,batlq10,,
,REDCap,,hcpa,batlq10_lc,,,,batbil01,batlq10_lc,,,,,,,,batlq10_lc,,
,REDCap,,hcpa,batlq10_lct,,,,batbil01,batlq10_lct,,,,,,,,batlq10_lct,,
,REDCap,,hcpa,batlq10_dz,,,,batbil01,batlq10_dz,,,,,,,,batlq10_dz,,
,REDCap,,hcpa,batlq10_dzt,,,,batbil01,batlq10_dzt,,,,,,,,batlq10_dzt,,
,REDCap,,hcpa,batlq10_age,,,,batbil01,batlq10_age,,,,,,,,batlq10_age,,
,REDCap,,hcpa,batlq11,,,,batbil01,batlq11,,,,,,,,batlq11,,
,REDCap,,hcpa,batlq11_lc,,,,batbil01,batlq11_lc,,,,,,,,batlq11_lc,,
,REDCap,,hcpa,batlq11_lct,,,,batbil01,batlq11_lct,,,,,,,,batlq11_lct,,
,REDCap,,hcpa,batlq11_dz,,,,batbil01,batlq11_dz,,,,,,,,batlq11_dz,,
,REDCap,,hcpa,batlq11_dzt,,,,batbil01,batlq11_dzt,,,,,,,,batlq11_dzt,,
,REDCap,,hcpa,batlq11_age,,,,batbil01,batlq11_age,,,,,,,,batlq11_age,,
,REDCap,,hcpa,batlq12,,,,batbil01,batlq12,,,,,,,,batlq12,,
,REDCap,,hcpa,batlq12_lc,,,,batbil01,batlq12_lc,,,,,,,,batlq12_lc,,
,REDCap,,hcpa,batlq12_lct,,,,batbil01,batlq12_lct,,,,,,,,batlq12_lct,,
,REDCap,,hcpa,batlq12_dz,,,,batbil01,batlq12_dz,,,,,,,,batlq12_dz,,
,REDCap,,hcpa,batlq12_dzt,,,,batbil01,batlq12_dzt,,,,,,,,batlq12_dzt,,
,REDCap,,hcpa,batlq12_age,,,,batbil01,batlq12_age,,,,,,,,batlq12_age,,
,REDCap,,hcpa,batlq13,,,,batbil01,batlq13,,,,,,,,batlq13,,
,REDCap,,hcpa,batlq13_lc,,,,batbil01,batlq13_lc,,,,,,,,batlq13_lc,,
,REDCap,,hcpa,batlq13_lct,,,,batbil01,batlq13_lct,,,,,,,,batlq13_lct,,
,REDCap,,hcpa,batlq13_dz,,,,batbil01,batlq13_dz,,,,,,,,batlq13_dz,,
,REDCap,,hcpa,batlq13_dzt,,,,batbil01,batlq13_dzt,,,,,,,,batlq13_dzt,,
,REDCap,,hcpa,batlq13_age,,,,batbil01,batlq13_age,,,,,,,,batlq13_age,,
,REDCap,,hcpa,batlq14,,,,batbil01,batlq14,,,,,,,,batlq14,,
,REDCap,,hcpa,batlq14_lc,,,,batbil01,batlq14_lc,,,,,,,,batlq14_lc,,
,REDCap,,hcpa,batlq14_lct,,,,batbil01,batlq14_lct,,,,,,,,batlq14_lct,,
,REDCap,,hcpa,batlq14_dz,,,,batbil01,batlq14_dz,,,,,,,,batlq14_dz,,
,REDCap,,hcpa,batlq14_dzt,,,,batbil01,batlq14_dzt,,,,,,,,batlq14_dzt,,
,REDCap,,hcpa,batlq14_age,,,,batbil01,batlq14_age,,,,,,,,batlq14_age,,
,REDCap,,hcpa,batlq15,,,,batbil01,batlq15,,,,,,,,batlq15,,
,REDCap,,hcpa,batlq15_lc,,,,batbil01,batlq15_lc,,,,,,,,batlq15_lc,,
,REDCap,,hcpa,batlq15_lct,,,,batbil01,batlq15_lct,,,,,,,,batlq15_lct,,
,REDCap,,hcpa,batlq15_dz,,,,batbil01,batlq15_dz,,,,,,,,batlq15_dz,,
,REDCap,,hcpa,batlq15_dzt,,,,batbil01,batlq15_dzt,,,,,,,,batlq15_dzt,,
,REDCap,,hcpa,batlq15_age,,,,batbil01,batlq15_age,,,,,,,,batlq15_age,,
,REDCap,,hcpa,batlq16,,,,batbil01,batlq16,,,,,,,,batlq16,,
,REDCap,,hcpa,batlq16_lc,,,,batbil01,batlq16_lc,,,,,,,,batlq16_lc,,
,REDCap,,hcpa,batlq16_lct,,,,batbil01,batlq16_lct,,,,,,,,batlq16_lct,,
,REDCap,,hcpa,batlq16_dz,,,,batbil01,batlq16_dz,,,,,,,,batlq16_dz,,
,REDCap,,hcpa,batlq16_dzt,,,,batbil01,batlq16_dzt,,,,,,,,batlq16_dzt,,
,REDCap,,hcpa,batlq16_age,,,,batbil01,batlq16_age,,,,,,,,batlq16_age,,
,REDCap,,hcpa,batlq17,,,,batbil01,batlq17,,,,,,,,batlq17,,
,REDCap,,hcpa,batlq17_lc,,,,batbil01,batlq17_lc,,,,,,,,batlq17_lc,,
,REDCap,,hcpa,batlq17_lct,,,,batbil01,batlq17_lct,,,,,,,,batlq17_lct,,
,REDCap,,hcpa,batlq17_dz,,,,batbil01,batlq17_dz,,,,,,,,batlq17_dz,,
,REDCap,,hcpa,batlq17_dzt,,,,batbil01,batlq17_dzt,,,,,,,,batlq17_dzt,,
,REDCap,,hcpa,batlq17_age,,,,batbil01,batlq17_age,,,,,,,,batlq17_age,,
,REDCap,,hcpa,batlq18,,,,batbil01,batlq18,,,,,,,,batlq18,,
,REDCap,,hcpa,batlq18_lc,,,,batbil01,batlq18_lc,,,,,,,,batlq18_lc,,
,REDCap,,hcpa,batlq18_lct,,,,batbil01,batlq18_lct,,,,,,,,batlq18_lct,,
,REDCap,,hcpa,batlq18_dz,,,,batbil01,batlq18_dz,,,,,,,,batlq18_dz,,
,REDCap,,hcpa,batlq18_dzt,,,,batbil01,batlq18_dzt,,,,,,,,batlq18_dzt,,
,REDCap,,hcpa,batlq18_age,,,,batbil01,batlq18_age,,,,,,,,batlq18_age,,
,REDCap,,hcpa,batlq19,,,,batbil01,batlq19,,,,,,,,batlq19,,
,REDCap,,hcpa,batlq19_lc,,,,batbil01,batlq19_lc,,,,,,,,batlq19_lc,,
,REDCap,,hcpa,batlq19_lct,,,,batbil01,batlq19_lct,,,,,,,,batlq19_lct,,
,REDCap,,hcpa,batlq19_dz,,,,batbil01,batlq19_dz,,,,,,,,batlq19_dz,,
,REDCap,,hcpa,batlq19_dzt,,,,batbil01,batlq19_dzt,,,,,,,,batlq19_dzt,,
,REDCap,,hcpa,batlq19_age,,,,batbil01,batlq19_age,,,,,,,,batlq19_age,,
,REDCap,,hcpa,batlq20,,,,batbil01,batlq20,,,,,,,,batlq20,,
,REDCap,,hcpa,batlq20_lc,,,,batbil01,batlq20_lc,,,,,,,,batlq20_lc,,
,REDCap,,hcpa,batlq20_lct,,,,batbil01,batlq20_lct,,,,,,,,batlq20_lct,,
,REDCap,,hcpa,batlq20_dz,,,,batbil01,batlq20_dz,,,,,,,,batlq20_dz,,
,REDCap,,hcpa,batlq20_dzt,,,,batbil01,batlq20_dzt,,,,,,,,batlq20_dzt,,
,REDCap,,hcpa,batlq20_age,,,,batbil01,batlq20_age,,,,,,,,batlq20_age,,
,REDCap,,hcpa,batlq21,,,,batbil01,batlq21,,,,,,,,batlq21,,
,REDCap,,hcpa,batlq21_lc,,,,batbil01,batlq21_lc,,,,,,,,batlq21_lc,,
,REDCap,,hcpa,batlq21_lct,,,,batbil01,batlq21_lct,,,,,,,,batlq21_lct,,
,REDCap,,hcpa,batlq21_dz,,,,batbil01,batlq21_dz,,,,,,,,batlq21_dz,,
,REDCap,,hcpa,batlq21_dzt,,,,batbil01,batlq21_dzt,,,,,,,,batlq21_dzt,,
,REDCap,,hcpa,batlq21_age,,,,batbil01,batlq21_age,,,,,,,,batlq21_age,,
,REDCap,,hcpa,batlq22,,,,batbil01,batlq22,,,,,,,,batlq22,,
,REDCap,,hcpa,batlq22_lc,,,,batbil01,batlq22_lc,,,,,,,,batlq22_lc,,
,REDCap,,hcpa,batlq22_lct,,,,batbil01,batlq22_lct,,,,,,,,batlq22_lct,,
,REDCap,,hcpa,batlq22_dz,,,,batbil01,batlq22_dz,,,,,,,,batlq22_dz,,
